,view_count,likes,dislikes,comment_count
9563,10334309,535964,7395,40247
9566,419395,13702,534,1744
9576,989144,19694,409,2727
9590,849471,31649,747,4327
9603,10748974,512254,8970,30087
9607,1660514,169857,3510,22767
9620,1665926,213400,1615,15489
9634,2667442,207283,2427,41751
9635,1211920,64305,840,5376
9666,392595,26701,310,2614
9668,689460,43072,644,2497
9688,3334390,148280,3680,13090
9694,3269446,235018,1718,35766
9695,836463,65275,523,5636
9741,1107658,53619,1235,2162
9760,14057290,302715,11606,26386
9769,14844914,701540,8829,36190
9797,236794,36262,142,2927
9801,1721505,69749,4231,8905
9803,1972418,186500,2611,22531
9813,1252376,241294,960,27630
9816,2650321,89963,2773,7818
9819,961495,43234,775,2596
9820,3847311,0,0,18928
9824,12419073,550964,9595,31959
9828,2395993,196765,4420,24717
9833,188251,10341,174,1102
9863,3078026,220087,2592,43358
9875,957524,70074,587,5896
9887,1441648,68050,956,5627
9901,3048398,70155,2670,2919
9910,982821,54039,795,2999
9923,438588,29063,332,2865
9944,3824152,160533,4034,13927
9950,3515042,239818,1806,36846
9993,1197356,56076,1261,2219
10007,5149843,274752,3305,35500
10013,2142077,181932,2812,27684
10016,621864,50618,1373,5621
10018,435939,9746,12539,6324
10026,2082514,72390,4540,9415
10039,1603434,267362,1151,31027
10041,3851859,110071,3690,9492
10046,13567194,575654,10028,32560
10053,207885,10735,191,1128
10065,2827310,212320,4914,25869
10066,270173,14511,719,2661
10077,3024638,303658,2426,20435
10102,1025409,72624,625,6028
10119,1506838,69004,992,5675
10130,3137115,72697,2720,2987
10131,1316182,68025,1012,3574
10148,490390,31128,376,3105
10168,4252936,171789,4375,14611
10177,3709742,243675,1894,37630
10204,2470101,153261,7191,0
10211,1349130,75742,914,8761
10216,1808487,103319,3152,7940
10229,956558,51198,947,2923
10232,6876678,316998,4465,39609
10238,812299,59565,1705,6476
10248,1884330,287636,1265,33468
10249,5426067,133694,4938,11018
10250,2503697,195059,3234,28816
10256,433258,11927,946,1552
10258,1579647,52086,1066,3090
10260,6649131,0,0,25075
10268,14544601,594354,10467,33194
10281,2824378,210302,3307,24887
10287,302024,15373,761,2857
10290,216837,10927,197,1141
10303,3304202,320845,2618,21357
10314,2948761,215699,5054,26275
10324,1058415,73606,647,6100
10344,1530692,68931,1006,5702
10349,1731296,83396,1267,4251
10356,3267616,75712,2799,3058
10372,514574,31950,393,3189
10388,4668798,181663,4664,15165
10395,3898647,247042,1972,38362
10415,3264396,178564,8186,0
10425,1684938,80843,1057,9401
10435,1490969,70044,1324,4012
10443,7666670,334707,4718,40440
10446,931408,65139,1914,6972
10457,2159119,73586,4644,9631
10463,7413832,160173,6361,12597
10465,2104274,301100,1323,34177
10471,492464,13230,983,1643
10476,1760772,54106,1113,3208
10479,7676203,0,0,26634
10485,15480298,611260,10851,33650
10486,2667891,201828,3441,29294
10500,324937,15978,795,2949
10504,2933065,213887,3432,25167
10509,222411,11037,200,1146
10525,3497471,332434,2758,21844
10537,3032481,219419,5179,26654
10543,1080323,74354,665,6146
10561,2307081,101389,1628,4959
10563,1550881,69319,1015,5730
10575,3375312,78573,2882,3122
10590,522748,32380,396,3226
10600,5495576,454310,3304,13753
10602,1974527,112005,2638,15759
10604,3013976,265801,1429,29342
10621,4339513,227535,3369,11678
10634,3502103,184840,8442,0
10644,5587622,301828,4380,36781
10647,2223654,93926,1935,5135
10661,2844781,59296,2251,2732
10665,4741967,118943,1571,8228
10671,8130287,345152,4982,40776
10680,1037078,69574,2090,7326
10691,624811,12204,17095,7770
10704,2164917,73812,4657,9680
10705,9011743,179124,7384,13583
10711,2266826,310198,1375,35003
10715,529482,13968,1006,1708
10718,1885005,55618,1146,3303
10722,8548967,0,0,27978
10727,16451202,629796,11365,34194
10728,2867364,207814,4294,31340
10742,340319,16553,822,3032
10755,226514,11110,204,1155
10765,3608907,338958,2840,22103
10781,1103767,74979,685,6187
10801,7504512,500815,6290,33169
10810,6445426,481079,4036,16033
10812,1665974,166296,3163,6188
10814,2636879,127594,3377,18469
10815,1425485,81657,756,10633
10837,3836807,294047,1811,31755
10840,395106,53226,157,2978
